Hello from parent 1264, n = 7
Hello from child 1265, n = 7
Hello from parent 1266, n = 7
Hello from child 1267, n = 7
Hello from parent 1268, n = 7
Hello from child 1269, n = 7
Hello from parent 1270, n = 7
Hello from child 1271, n = 7
Hello from parent 1272, n = 7
Hello from child 1273, n = 7
Hello from parent 1274, n = 7
Hello from child 1275, n = 7
Hello from parent 1276, n = 7
Hello from child 1277, n = 7
Hello from parent 1278, n = 7
Hello from child 1279, n = 7
Hello from parent 1280, n = 7
Hello from child 1281, n = 7
Hello from parent 1282, n = 7
Hello from child 1283, n = 7
Hello from parent 1284, n = 7
Hello from child 1285, n = 7
